iter	Passed	Remaining
1489	42344	10230
1490	42451	10221
1491	42507	10199
1492	42539	10171
1493	42572	10144
1494	42603	10116
1495	42635	10088
1496	42665	10060
1497	42702	10034
1498	42731	10005
1499	42759	9977
1500	42791	9949
1501	42822	9921
1502	42854	9893
1503	42886	9866
1504	42918	9838
1505	42948	9810
1506	42979	9782
1507	43006	9753
1508	43034	9724
1509	43059	9695
1510	43089	9667
1511	43119	9639
1512	43156	9612
1513	43198	9586
1514	43229	9558
1515	43270	9533
1516	43300	9505
1517	43331	9477
1518	43363	9449
1519	43397	9421
1520	43436	9395
1521	43469	9367
1522	43500	9339
1523	43526	9310
1524	43551	9281
1525	43582	9253
1526	43614	9225
1527	43644	9197
1528	43672	9168
1529	43701	9140
1530	43731	9111
1531	43765	9084
1532	43794	9056
1533	43827	9028
1534	43854	8999
1535	43880	8970
1536	43909	8941
1537	43934	8912
1538	43960	8883
1539	43983	8853
1540	44006	8824
1541	44028	8794
1542	44051	8764
1543	44075	8735
1544	44096	8705
1545	44119	8675
1546	44145	8646
1547	44167	8616
1548	44191	8587
1549	44215	8557
1550	44240	8528
1551	44264	8499
1552	44289	8469
1553	44315	8440
1554	44339	8411
1555	44363	8382
1556	44387	8352
1557	44411	8323
1558	44436	8294
1559	44461	8265
1560	44487	8236
1561	44514	8207
1562	44544	8179
1563	44575	8151
1564	44604	8122
1565	44633	8094
1566	44658	8065
1567	44682	8036
1568	44707	8006
1569	44733	7977
1570	44759	7949
1571	44784	7919
1572	44808	7890
1573	44833	7861
1574	44859	7832
1575	44946	7814
1576	44989	7788
1577	45020	7760
1578	45046	7731
1579	45072	7702
1580	45096	7672
1581	45122	7644
1582	45146	7614
1583	45171	7585
1584	45195	7556
1585	45219	7527
1586	45245	7498
1587	45269	7468
1588	45294	7439
1589	45319	7410
1590	45344	7381
1591	45366	7352
1592	45391	7322
1593	45414	7293
1594	45435	7264
1595	45458	7234
1596	45484	7205
1597	45508	7176
1598	45534	7147
1599	45561	7119
1600	45587	7090
1601	45612	7061
1602	45637	7032
1603	45659	7002
1604	45682	6973
1605	45704	6943
1606	45728	6914
1607	45749	6885
1608	45773	6856
1609	45806	6828
1610	45841	6800
1611	45872	6772
1612	45898	6743
1613	45920	6714
1614	45944	6685
1615	45966	6655
1616	45988	6626
1617	46013	6597
1618	46038	6568
1619	46063	6539
1620	46105	6513
1621	46128	6484
1622	46150	6454
1623	46175	6425
1624	46199	6396
1625	46227	6368
1626	46254	6339
1627	46276	6310
1628	46299	6281
1629	46330	6253
1630	46362	6225
1631	46394	6197
1632	46427	6169
1633	46460	6141
1634	46510	6116
1635	46542	6088
1636	46572	6059
1637	46603	6031
1638	46634	6003
1639	46666	5975
1640	46703	5948
1641	46734	5920
1642	46786	5894
1643	46812	5865
1644	46836	5836
1645	46860	5807
1646	46882	5778
1647	46905	5749
1648	46928	5720
1649	46950	5690
1650	46976	5662
1651	46999	5633
1652	47022	5604
1653	47045	5574
1654	47067	5545
1655	47090	5516
1656	47116	5487
1657	47140	5458
1658	47164	5430
1659	47189	5401
1660	47212	5372
1661	47235	5343
1662	47258	5314
1663	47280	5285
