Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№32413159339;Предоставление Услуги по сопровождению программного обеспечения «Автоматизированная система «Адресная социальная помощь» АРМ «Учет услуг  в надомной, стационарной и полустационарных (отделения срочного социального обслуживания, социально-оздоровительное отделение) формах обслуживания по социальному обслуживанию»  программного комплекса «Контдуит-Андроид»  для нужд ГБУСО «Предгорный КЦСОН;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413159307;оказание услуг по адаптации и сопровождению справочно-правовых систем «Консультант Плюс»;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413158387;оказание услуг, выполнение работ по обслуживанию программного обеспечения;62.03.12.120: Услуги по управлению компьютерными системами дистанционно;09.01.2024
№32413157591;Адаптация и сопровождение экземпляров Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413159257;"Обновление информационно-справочной системы ""Гарант-Мастер""";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;09.01.2024
№32413158330;Обслуживание компьютерной техники;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;09.01.2024
№32413158266;Обслуживание программного обеспечения;62.03.12.120: Услуги по управлению компьютерными системами дистанционно;09.01.2024
№32413158666;Оказание информационных услуг с использованием экземпляров нормативно-справочных систем «Техэксперт» на основе лицензированного программного обеспечения, обеспечивающего совместимость информационных услуг с установленными у заказчика экземплярами системы «Техэксперт»;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413159157;Поставка, адаптация и сопровождение экземпляров правовых форм;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;09.01.2024
№32413159151;оказание услуг по сопровождению комплексной автоматизированной музейной информационной системы КАМИС 5;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413159121;Выполнение работ по подключению и обеспечению функционирования системы транспорта общего пользования на территории Тверской области по нетто-контрактам;62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки;09.01.2024
№32413159081;1С сопровождение;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;09.01.2024
№32413159024;Оказание услуг по обеспечению доступа к программному приложению Омникомм Онлайн с предоставлением оборудования в безвозмездное пользование и монтажом;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;09.01.2024
№32413159017;"Услуги по сопровождению ""1С:Пердприятие""";62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
